valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
gaz.138sportlogin.org,domain,Vidar,media,55,100,,ThreatFox,2026-08-31 19:00:45 UTC,0
gaz.12naga.org,domain,Vidar,media,55,100,,ThreatFox,2026-08-31 18:50:45 UTC,0
noi403e7.shop-cardioslim-tea.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 18:13:04 UTC,0
shop-cardioslim-tea.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 18:10:56 UTC,0
iuhdcqg0.shop-dentilock.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 17:08:03 UTC,0
shop-dentilock.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 17:05:59 UTC,0
gen.12naga.org,domain,Vidar,media,55,100,,ThreatFox,2026-08-31 17:00:45 UTC,0
sxohnfj3.shop-blinzador.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 16:40:17 UTC,0
shop-blinzador.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 16:39:49 UTC,0
shop-gutlite.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 16:39:32 UTC,0
mqduizlq.shop-biodentex.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 16:31:17 UTC,0
shop-biodentex.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 16:30:34 UTC,0
privetbelvedere.net,domain,SmartApeSG,media,55,100,,ThreatFox,2026-08-31 16:11:02 UTC,0
r2vpglmz42fs5762tchek55bg4kdg3c6ozipg7wqs2ghzbhsdtwkzmyd.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-08-31 15:46:46 UTC,0
rz5lecsm2re5ec4im362jnalrypxylxsdobuibuotbovvs4d3ctrcoyd.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-08-31 15:46:46 UTC,0
hhj2nouojnatg6gvhfgrcqdanoe244gf26pixpnrcoxs7jiqu4atvzyd.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-08-31 15:46:45 UTC,0
y1w1e9yu.shop-dentavive.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 15:08:10 UTC,0
shop-dentavive.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 15:05:49 UTC,0
ninjabattlearena.cfd,domain,Unknown Webinject,media,55,100,,ThreatFox,2026-08-31 14:19:27 UTC,1
pa-upd.mariomilan.com,domain,FAKEUPDATES,media,55,100,,ThreatFox,2026-08-31 14:10:50 UTC,1
softcrate.cfd,domain,Unknown Loader,media,55,100,,ThreatFox,2026-08-31 14:03:46 UTC,1
bbtidwyn.shop-cardioslim.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 14:03:36 UTC,1
shop-cardioslim.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 14:01:09 UTC,1
sakurinos.com,domain,Unknown Stealer,media,55,100,,ThreatFox,2026-08-31 13:15:05 UTC,1
9mrz5b66.shop-dentalprime.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 13:06:04 UTC,1
shop-dentalprime.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 13:05:03 UTC,1
earl.afghankabobgrill.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 12:58:32 UTC,1
wo2n2gl5.shop-biobooster.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 11:32:25 UTC,1
shop-biobooster.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 11:30:31 UTC,1
tkmpeinture.ch,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 09:32:33 UTC,0
eulenhof.swiss,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 06:42:24 UTC,0
chalet-araucaria.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 06:42:24 UTC,0
www.tuerenportal.ch,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 00:40:27 UTC,0
speedimmo.ch,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 00:40:27 UTC,0
kingkong-mag.com,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 19:05:08 UTC,0
totalforcegym.com,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 19:05:08 UTC,0
theoriginbeachsoul.com,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 19:05:08 UTC,0
www.weoptic.fr,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 19:05:07 UTC,0
awillicontractors.com,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 18:55:06 UTC,0
ero-corp.com,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 18:55:06 UTC,0
www.mahayanti.com,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 18:45:04 UTC,0
www.groupe-elemen.com,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 12:53:29 UTC,1
ifuqpatr.com,domain,Unknown malware,media,51,75,,ThreatFox,2026-09-01 06:10:31 UTC,0
ruffx78785.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 11:21:03 UTC,0
c7nkmde3w7.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 11:17:36 UTC,0
yglcd57639.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 11:08:03 UTC,0
jixeta.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 11:00:54 UTC,0
zalupifu.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 10:50:09 UTC,0
negimegy.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 10:29:51 UTC,0
lalaqovy.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 09:59:54 UTC,0
wyxubece.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 09:40:40 UTC,0
javebuxo.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 09:34:53 UTC,0
wcxme67917.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 09:27:33 UTC,0
amn00kh0pe.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 09:05:48 UTC,0
gtxam54079.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 08:47:26 UTC,0
qykuba.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 08:43:42 UTC,0
pofoga.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 08:15:38 UTC,0
uwkac56907.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 08:00:29 UTC,0
hojaheno.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 07:54:17 UTC,0
cbuod47726.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 07:46:44 UTC,0
0hqrb19cyv.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 07:24:00 UTC,0
rucequ.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 07:16:28 UTC,0
480peumx1e.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 06:53:52 UTC,0
vogebene.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 06:28:33 UTC,0
26seodg1pp.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 06:09:40 UTC,0
puhihylo.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 06:01:57 UTC,0
kevyn94.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 05:37:45 UTC,0
gezajoqa.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 05:20:36 UTC,0
dawelyxi.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 05:08:15 UTC,0
nwuor63200.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 04:38:32 UTC,0
qlhha28177.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 04:36:53 UTC,0
lepotafo.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 04:30:09 UTC,0
tyqeca.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 04:13:40 UTC,0
rofileji.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 03:56:52 UTC,0
sixepatu.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 03:44:50 UTC,0
exjui68915.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 03:10:33 UTC,0
bumilago.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 02:58:13 UTC,0
nivovubo.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 02:57:03 UTC,0
8skntjcxvt.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 02:56:04 UTC,0
zyzimy.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 02:24:10 UTC,0
