valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto
h5xluule.barbashat.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 23:01:28 UTC
0qa0xgkt.retinaclr.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 21:14:02 UTC
retinaclr.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 21:13:04 UTC
xnjbjf7o.shop-aquapeace.us,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 21:01:08 UTC
shop-aquapeace.us,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 21:00:08 UTC
p0iqkjuq.usen-glucotrust-bites.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 20:20:18 UTC
usen-glucotrust-bites.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 20:19:34 UTC
eelsq5rh.shop-aquaburn.us,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 19:02:30 UTC
shop-aquaburn.us,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 18:59:54 UTC
cc.nhancute.site,domain,Mirai,media,55,100,,ThreatFox,2026-08-30 18:09:21 UTC
7109hvuj.retinaclier.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 17:03:53 UTC
retinaclier.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 17:03:07 UTC
lf2qo513.shop-aquaburn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 17:00:30 UTC
shop-aquaburn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 16:59:25 UTC
shop-alphatonic.us,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 16:57:46 UTC
glyco--free.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 16:54:56 UTC
7ytwphx3.purabst.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 15:35:23 UTC
purabst.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 15:33:32 UTC
2uehzspm.prosta-fense.org,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 15:06:30 UTC
prosta-fense.org,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 15:02:03 UTC
zyo61rgc.shop-alphasurge.us,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 14:58:58 UTC
shop-alphasurge.us,domain,ClearFake,media,55,100,,ThreatFox,2026-08-30 14:57:14 UTC
www.groupe-elemen.com,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 12:53:29 UTC
intratechsa.co.za,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 10:49:11 UTC
kap-engineering.co.uk,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 10:09:09 UTC
conectao.com.do,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 06:54:48 UTC
www.forumeciv-afriquecentrale.com,domain,ClearFake,media,54,90,,ThreatFox,2026-08-31 00:36:51 UTC
mail.ded7845.inmotionhosting.com,domain,Unknown malware,media,54,90,,ThreatFox,2026-08-30 21:06:39 UTC
www.maxmetalpackage.com,domain,ClearFake,media,54,90,,ThreatFox,2026-08-30 16:06:23 UTC
check1.judicica1n,domain,Cobalt Strike,media,51,75,,ThreatFox,2026-08-30 19:46:45 UTC
