valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
94.154.43.69,ip:port,Mirai,alta,77,100,NL,ThreatFox,2026-09-02 17:45:10 UTC,0
68.233.116.124,ip:port,XMRIG,alta,73,85,IN,ThreatFox,2026-09-02 07:10:52 UTC,1
43.156.71.43,ip:port,XMRIG,alta,73,85,SG,ThreatFox,2026-09-02 07:10:52 UTC,1
85.120.216.8,ip:port,AdaptixC2,alta,72,75,MD,ThreatFox,2026-09-02 09:46:57 UTC,1
103.105.67.170,ip:port,XMRIG,alta,72,80,ID,ThreatFox,2026-09-02 07:10:51 UTC,1
45.148.10.133,ip:port,Unknown malware,media,68,50,AD,ThreatFox,2026-09-02 08:18:07 UTC,1
213.152.162.116,ip:port,Remcos,media,66,100,NL,ThreatFox,2026-09-02 07:10:46 UTC,1
91.193.7.186,ip:port,Unknown RAT,media,61,75,JP,ThreatFox,2026-09-02 08:12:49 UTC,1
217.60.195.33,ip:port,Remcos,media,59,100,NL,ThreatFox,2026-09-03 01:11:15 UTC,0
54.37.128.55,ip:port,Remcos,media,59,100,PL,ThreatFox,2026-09-02 05:49:54 UTC,1
178.128.173.150,ip:port,Aisuru,media,57,100,GB,ThreatFox,2026-09-03 01:41:19 UTC,0
176.98.182.217,ip:port,Aisuru,media,57,100,NL,ThreatFox,2026-09-02 19:46:26 UTC,0
176.98.182.218,ip:port,Aisuru,media,57,100,NL,ThreatFox,2026-09-02 14:52:36 UTC,0
43.155.168.253,ip:port,Unknown malware,media,57,100,KR,ThreatFox,2026-09-02 14:05:05 UTC,0
188.166.146.72,ip:port,Aisuru,media,56,100,GB,ThreatFox,2026-09-03 03:50:24 UTC,0
157.245.242.229,ip:port,Aisuru,media,56,100,US,ThreatFox,2026-09-03 01:56:33 UTC,0
155.103.69.38,ip:port,Remcos,media,56,100,TR,ThreatFox,2026-09-02 20:10:31 UTC,0
46.246.6.66,ip:port,Vjw0rm,media,56,100,SE,ThreatFox,2026-09-02 13:40:06 UTC,0
149.56.95.163,ip:port,IClickFix,media,56,100,VN,ThreatFox,2026-09-02 08:42:53 UTC,1
185.215.151.34,ip:port,Remcos,media,56,100,US,ThreatFox,2026-09-02 05:50:20 UTC,1
164.90.161.147,ip:port,MacSync,media,55,100,DE,ThreatFox,2026-09-03 01:10:04 UTC,0
217.60.195.210,ip:port,Remcos,media,55,100,NL,ThreatFox,2026-09-03 00:51:59 UTC,0
165.227.92.224,ip:port,Aisuru,media,55,100,US,ThreatFox,2026-09-02 22:49:15 UTC,0
157.245.118.145,ip:port,Remus,media,55,100,US,ThreatFox,2026-09-02 20:26:11 UTC,0
38.247.165.127,ip:port,AsyncRAT,media,55,75,US,ThreatFox,2026-09-02 19:46:58 UTC,0
157.20.182.22,ip:port,AsyncRAT,media,55,75,NL,ThreatFox,2026-09-02 19:44:24 UTC,0
102.220.160.198,ip:port,AsyncRAT,media,55,75,SI,ThreatFox,2026-09-02 19:43:17 UTC,0
204.44.69.221,ip:port,Remcos,media,55,100,US,ThreatFox,2026-09-02 17:33:55 UTC,0
165.22.242.128,ip:port,Aisuru,media,55,100,SG,ThreatFox,2026-09-02 17:31:27 UTC,0
216.9.226.120,ip:port,XMRIG,media,55,100,US,ThreatFox,2026-09-02 16:30:05 UTC,0
46.8.228.191,ip:port,XMRIG,media,55,100,LV,ThreatFox,2026-09-02 16:30:05 UTC,0
152.42.247.65,ip:port,Aisuru,media,55,100,SG,ThreatFox,2026-09-02 16:28:38 UTC,0
142.93.100.111,ip:port,Aisuru,media,55,100,DE,ThreatFox,2026-09-02 14:52:39 UTC,0
207.154.227.110,ip:port,Aisuru,media,55,100,DE,ThreatFox,2026-09-02 14:52:37 UTC,0
69.167.29.138,ip:port,Remcos,media,55,100,US,ThreatFox,2026-09-02 14:52:35 UTC,0
111.170.163.157,ip:port,XenoRAT,media,55,100,CN,ThreatFox,2026-09-02 14:35:07 UTC,0
154.91.58.114,ip:port,VShell,media,55,100,US,ThreatFox,2026-09-02 14:05:05 UTC,0
145.79.143.166,ip:port,VShell,media,55,100,HK,ThreatFox,2026-09-02 13:05:10 UTC,0
2.59.218.73,ip:port,Unknown malware,media,55,100,BG,ThreatFox,2026-09-02 13:05:09 UTC,0
194.32.149.129,ip:port,Unknown malware,media,55,100,HK,ThreatFox,2026-09-02 13:05:07 UTC,0
23.148.212.176,ip:port,Cobalt Strike,media,55,100,US,ThreatFox,2026-09-02 13:05:06 UTC,0
