valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
quinesarmentera.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-02 03:08:37 UTC,0
old.travelbizmonitor.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-02 02:08:33 UTC,0
qaz0.com,domain,Unknown malware,media,54,90,,ThreatFox,2026-09-02 01:17:43 UTC,0
qaz6.com,domain,Unknown malware,media,54,90,,ThreatFox,2026-09-02 01:17:43 UTC,0
savoiretre-asso.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-02 00:58:29 UTC,0
waterqualityorganization.org,domain,ClearFake,media,54,90,,ThreatFox,2026-09-02 00:48:29 UTC,0
lbsa.novadev.ch,domain,ClearFake,media,54,90,,ThreatFox,2026-09-02 00:38:27 UTC,0
laquintaangustia.org,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 22:58:22 UTC,0
talioo.ch,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 21:58:19 UTC,0
www.tuttoxpizza.ch,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 19:18:11 UTC,0
rcet-cps.site,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 19:08:10 UTC,0
tkccorp.co.id,domain,Unknown malware,media,54,90,,ThreatFox,2026-09-01 15:57:59 UTC,0
immigrationsc.com,domain,Unknown malware,media,54,90,,ThreatFox,2026-09-01 15:57:59 UTC,0
healthchatboard.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 15:17:56 UTC,0
swisshousebuilder.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 14:27:52 UTC,0
www.damatostudiolegale.it,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 13:27:47 UTC,0
exmyza.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 12:52:44 UTC,0
payload.moodec.ch,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 12:42:43 UTC,0
tkmpeinture.ch,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 09:32:33 UTC,1
eulenhof.swiss,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 06:42:24 UTC,1
chalet-araucaria.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-01 06:42:24 UTC,1
yourownsupport.com,domain,Unknown malware,media,52,80,,ThreatFox,2026-09-02 02:18:55 UTC,0
popularcomedybattle.com,domain,Unknown malware,media,52,80,,ThreatFox,2026-09-02 02:18:54 UTC,0
fastonlinedelivery.com,domain,Unknown malware,media,52,80,,ThreatFox,2026-09-02 02:18:52 UTC,0
privetbelvedere.net,domain,SmartApeSG,media,52,80,,ThreatFox,2026-09-02 01:44:53 UTC,0
slotbet200.xyz,domain,Unknown Stealer,media,52,75,,ThreatFox,2026-09-01 14:08:25 UTC,0
ps2csrcvxlbc5rn7gw3vnncyue0lgpsx.lambda-url.ap-south-1.on.aws,domain,Cobalt Strike,media,51,75,,ThreatFox,2026-09-01 11:47:42 UTC,0
ifuqpatr.com,domain,Unknown malware,media,51,75,,ThreatFox,2026-09-01 06:10:31 UTC,1
vezyluly.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 03:44:27 UTC,0
6504rania.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 03:36:07 UTC,0
frankieazure.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 03:32:37 UTC,0
mzn3xbrkbz.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 03:29:16 UTC,0
wi3iayfczx.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 03:14:02 UTC,0
56pregnant.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 03:04:39 UTC,0
usxrr88427.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 02:45:31 UTC,0
palamy.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 02:09:20 UTC,0
0xpbs8gsma.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 01:57:29 UTC,0
fyj081hy8u.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 01:54:46 UTC,0
mulylele.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 01:46:41 UTC,0
voxygoxe.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 01:46:20 UTC,0
lunuzo.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 01:25:21 UTC,0
xalatude.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 01:04:59 UTC,0
4620violet.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 00:48:27 UTC,0
eemh70dii5.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 00:14:58 UTC,0
bixuvyja.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 00:13:46 UTC,0
hygotymu.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 00:08:41 UTC,0
nogepoku.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-02 00:03:37 UTC,0
lewuzica.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 23:35:33 UTC,0
gagodu.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 23:20:55 UTC,0
ofvwqya4kf.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 22:55:09 UTC,0
hegeraga.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 22:40:07 UTC,0
689i2hdhra.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 22:37:57 UTC,0
xnlhilx2jc.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 22:31:56 UTC,0
kosulymo.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 22:29:31 UTC,0
liqamu-43f.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 21:58:59 UTC,0
saqujeti.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 21:39:17 UTC,0
perawemi.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 21:30:16 UTC,0
capasa.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 21:16:10 UTC,0
lusalifa.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 21:02:10 UTC,0
cumepaby.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 20:53:55 UTC,0
korugeto.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 20:53:06 UTC,0
m5ve0nrzqn.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 20:38:29 UTC,0
2kelly.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 19:47:05 UTC,0
mewewy.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 19:22:57 UTC,0
xaripicy.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 19:17:07 UTC,0
valid8306.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 19:09:34 UTC,0
nygyvine.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 18:44:11 UTC,0
31sharon.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 18:41:47 UTC,0
hizcs86157.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 18:21:59 UTC,0
s81ihzgz2f.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 18:05:07 UTC,0
fagakumu.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 17:41:32 UTC,0
efwip09734.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 17:35:16 UTC,0
954xj1k9fo.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 17:29:32 UTC,0
mohyda.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 17:20:18 UTC,0
christian293.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 17:04:50 UTC,0
1904objective.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 16:32:33 UTC,0
jocuxapa.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 16:28:13 UTC,0
rehesiwy.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 16:02:10 UTC,0
savady.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 15:58:08 UTC,0
tidawuhu.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 15:54:09 UTC,0
guravoxy.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 15:33:45 UTC,0
sonywyho.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 15:11:33 UTC,0
rycawixo.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 14:58:51 UTC,0
rhuv97eek7.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 14:38:03 UTC,0
fiwarice.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-09-01 14:27:07 UTC,0
countrybase.cfd,domain,Unknown Loader,media,48,50,,ThreatFox,2026-09-01 14:19:31 UTC,0
